Name,AtEventIndex,EdgeCount,EdgeDelete,Latency,AlgTimeSinceLast,CurrentRuntime
0,2423736,2423737,0,64678463,9844369,1109055004
0,2711328,2711329,0,49866263,28281786,1217420404
0,3237379,3237380,0,157994905,75296548,1358748814
0,4070305,4070306,0,230764645,42583205,1580689835
0,5060277,5060278,0,381830317,67984470,1912470542
0,5917370,5917371,0,402957908,58066014,2398977056
0,6721899,6721900,0,227729573,40069361,2889184927
0,7495619,7495620,0,271220178,30766236,3194602165
0,8227779,8227780,0,528898727,31059860,3545780101
0,8897345,8897346,0,227581756,30172933,4162086787
0,9600208,9600209,0,224490982,30918528,4481893760
0,10311315,10311316,0,266523661,31041450,4806884071
0,10973159,10973160,0,222930779,26375838,5181626834
0,11642772,11642773,0,864051712,33246483,5521093777
0,12271376,12271377,0,202915389,23207826,6513031283
0,12805409,12805410,0,130759831,22418425,6820777793
0,13397984,13397985,0,121011800,19768889,7045058438
0,13978554,13978555,0,147054640,20444741,7254753422
0,14673904,14673905,0,171400919,24944563,7515076240
0,15298019,15298020,0,167926953,26719556,7796519332
0,15967506,15967507,0,162803848,26961661,8105475213
0,16912900,16912901,0,233607799,36418556,8404106591
0,18024937,18024938,0,266456647,171752403,8909904738
0,19609017,19609018,0,448551141,62730167,9330418495
0,21156185,21156186,0,362151737,131500237,10046407107
0,22956469,22956470,0,328307683,104033196,10635661364
0,24633520,24633521,0,314079825,109851058,11199185510
0,26393379,26393380,0,364034137,113822743,11755645081
0,28097396,28097397,0,465937935,197151899,12453524857
0,29539744,29539745,0,450720928,102522613,13203031383
0,30897338,30897339,0,718880762,82642795,13941453236
0,32120127,32120128,0,613085705,87659689,15028349045
0,33274675,33274676,0,397908493,71256368,16125079239
0,34480312,34480313,0,611010878,55107189,16807827855
0,35770485,35770486,0,588917125,54572507,17838410746
0,37030233,37030234,0,495574929,64326208,18779922659
0,38177651,38177652,0,407840616,52137333,19573346043
0,39265375,39265376,0,534681087,44848467,20469165658
0,40285152,40285153,0,648731678,46854176,21380250249
0,41193760,41193761,0,423399291,31906034,22335336809
0,42136984,42136985,0,398710765,39645042,23134211920
0,43020158,43020159,0,359361495,36369017,23842933893
0,43827884,43827885,0,322553604,25675348,24474153629
0,44589460,44589461,0,473137651,34312229,25158173237
0,45338604,45338605,0,455967051,24001492,25908971699
0,46040400,46040401,0,422276304,28343934,26716259089
0,46709044,46709045,0,412364882,28258261,27482256454
0,47373461,47373462,0,374103520,28484877,28231809358
0,47967364,47967365,0,249010806,21876992,28871683363
0,48427185,48427186,0,178383267,13943619,29438768855
0,48827896,48827897,0,166647933,18889402,29942074835
0,49274027,49274028,0,154677936,18307304,30445940572
0,49719419,49719420,0,167982370,17643974,30934563058
0,50154007,50154008,0,128268434,18412066,31451318368
0,50549749,50549750,0,103160759,15675743,31912770486
0,50914464,50914465,0,97576279,16175220,32372200301
0,51258440,51258441,0,88994591,14218931,32827631058
0,51574450,51574451,0,81174845,13032815,33266446318
0,51894377,51894378,0,72924930,11946685,33694142749
0,52195928,52195929,0,79430248,12368520,34143961582
0,52516900,52516901,0,94537715,13399560,34609672838
0,52868651,52868652,0,135074926,13869489,35044151936
0,53186302,53186303,0,109232869,15071012,35580296922
0,53507951,53507952,0,92796874,12451853,36003626813
0,53826479,53826480,0,91286931,12530309,36434619349
0,54178064,54178065,0,115494067,14277998,36873220634
0,54609929,54609930,0,112480202,22176758,37369065620
0,55026170,55026171,0,102346055,16146063,37797275893
0,55402934,55402935,0,89707814,11627742,38207243630
0,55868744,55868745,0,99791448,17718038,38633445436
0,56309403,56309404,0,111957174,14253030,39066222272
0,56723647,56723648,0,104070100,14547233,39540248622
0,57194365,57194366,0,182125416,15466042,39956564655
0,57602542,57602543,0,106420542,15751793,40671612983
0,58055337,58055338,0,239427997,18028095,41169474037
0,58493630,58493631,0,214198439,26937861,41850096961
0,58953379,58953380,0,109780881,17840384,42468630245
0,59377642,59377643,0,170422812,16425632,42933541997
0,59719908,59719909,0,117021832,19770224,43445163904
0,59996790,59996791,0,89559561,10329468,43990801495
0,60272851,60272852,0,89712669,10315984,44546346766
0,60538092,60538093,0,68718556,11645401,45050572236
0,60800857,60800858,0,85941781,8735542,45470542434
0,61001212,61001213,0,289501480,27389679,46378485756
0,61242160,61242161,0,51622765,66915470,48469060573
0,61458958,61458959,0,44557416,50677348,49045254135
0,61693591,61693592,0,46912978,41768599,49478920896
0,61918168,61918169,0,41432244,70422084,49964742921
0,62140092,62140093,0,69123738,42823000,50502494606
0,62348145,62348146,0,76476050,25443966,51011784149
0,62557224,62557225,0,55069211,36685422,51564988166
0,62763724,62763725,0,81255470,22134630,52115028284
0,62977058,62977059,0,73760030,15265244,52637181859
0,63187892,63187893,0,116086375,15144097,53106126015
